gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,512,1024,2048,ck,7,0,9.1482,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,234.74,458.48,0.0
gfx950,256,667,1024,2048,ck,18,0,10.9075,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,256.48,442.74,0.0
gfx950,256,671,1024,2048,ck,18,0,10.9203,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,257.72,443.72,0.0
gfx950,256,931,1024,2048,ck,18,0,11.6158,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,336.17,508.84,0.0
gfx950,256,1024,1024,2048,ck,18,0,9.9827,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,430.24,630.24,0.0
gfx950,256,1025,1024,2048,ck,2,0,15.1175,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,284.38,416.44,0.0
gfx950,256,1027,1024,2048,ck,2,0,15.1123,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,285.04,417.13,0.0
gfx950,256,1031,1024,2048,ck,2,0,15.1293,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,285.82,417.74,0.0
gfx950,256,1039,1024,2048,ck,2,0,15.1367,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,287.9,419.7,0.0
gfx950,256,1040,1024,2048,ck,2,0,15.2651,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,285.75,416.44,0.0
gfx950,256,1041,1024,2048,ck,2,0,15.224,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,286.8,417.83,0.0
gfx950,256,1072,1024,2048,ck,2,0,15.2189,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,295.44,426.32,0.0
gfx950,256,1073,1024,2048,ck,2,0,15.3456,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,293.28,423.06,0.0
gfx950,256,1077,1024,2048,ck,2,0,15.2493,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,296.23,426.81,0.0
gfx950,256,1091,1024,2048,ck,2,0,15.2656,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,299.76,430.11,0.0
gfx950,256,1343,1024,2048,ck,2,0,15.4197,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,365.31,492.75,0.0
gfx950,256,1688,1024,2048,ck,2,0,15.6958,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,451.08,574.12,0.0
gfx950,256,2017,1024,2048,ck,2,0,15.8206,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,534.74,654.77,0.0
gfx950,256,2048,1024,2048,ck,2,0,16.132,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,532.48,650.0,0.0
gfx950,256,2050,1024,2048,ck,3,0,19.1733,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,448.45,547.32,0.0
